Date,Time,League,Matchup,Services,DayOfWeek
2026-03-18,19:00,NBA,"Boston Celtics,Golden State Warriors","['Fubo Sports', 'ESPN Unlimited', 'ESPN', 'ESPN App']",Wednesday
2026-03-18,19:30,NBA,"Brooklyn Nets,Oklahoma City Thunder",['NBA League Pass'],Wednesday
2026-03-18,19:30,NBA,"Indiana Pacers,Portland Trail Blazers",['NBA League Pass'],Wednesday
2026-03-18,20:00,NBA,"Chicago Bulls,Toronto Raptors",['NBA League Pass'],Wednesday
2026-03-18,20:00,NBA,"Minnesota Timberwolves,Utah Jazz",['NBA League Pass'],Wednesday
2026-03-18,20:00,NBA,"New Orleans Pelicans,Los Angeles Clippers",['NBA League Pass'],Wednesday
2026-03-18,20:30,NBA,"Dallas Mavericks,Atlanta Hawks",['NBA League Pass'],Wednesday
2026-03-18,20:30,NBA,"Memphis Grizzlies,Denver Nuggets",['NBA League Pass'],Wednesday
2026-03-18,21:30,NBA,"Houston Rockets,Los Angeles Lakers","['Fubo Sports', 'ESPN Unlimited', 'ESPN', 'ESPN App']",Wednesday
2026-03-18,19:00,MCBB,"Navy,Wake Forest","['ESPN Unlimited', 'ESPN U']",Wednesday
2026-03-18,20:00,MCBB,"Kent State,Illinois State","['ESPN Select', 'ESPN Unlimited']",Wednesday
2026-03-18,20:00,MCBB,"George Washington,Utah Valley","['ESPN Select', 'ESPN Unlimited']",Wednesday
2026-03-18,21:00,MCBB,"Dayton,Bradley","['ESPN Unlimited', 'ESPN U']",Wednesday
2026-03-18,21:00,MCBB,"Sam Houston,New Mexico","['ESPN Select', 'ESPN Unlimited']",Wednesday
2026-03-18,22:00,MCBB,"Murray State,Nevada","['ESPN Select', 'ESPN Unlimited']",Wednesday
2026-03-18,23:00,MCBB,"Saint Joseph's,Colorado State","['ESPN Unlimited', 'ESPN U']",Wednesday
2026-03-18,23:00,MCBB,"UIC,California","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Wednesday
2026-03-18,19:00,WCBB,"Richmond,Nebraska","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Wednesday
2026-03-18,21:00,WCBB,"Stephen F. Austin,Missouri State","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Wednesday
