Date,Time,League,Matchup,Services
2026-03-20,7:30 PM,NBA,Brooklyn Nets @ New York Knicks @,"['NBA League Pass', 'MSG Sportsnet', 'YES', 'Gotham Sports App']"
2026-03-20,7:30 PM,NBA,Detroit Pistons @ Golden State Warriors @,"['NBA League Pass', 'Detroit SportsNet', 'NBC Sports Bay Area']"
2026-03-20,8:00 PM,NBA,Houston Rockets @ Atlanta Hawks @,"['Space City Home Network', 'FanDuel Sports Network Southeast Atlanta', 'NBA TV']"
2026-03-20,8:00 PM,NBA,Memphis Grizzlies @ Boston Celtics @,"['NBA League Pass', 'FanDuel Sports Network Southeast Memphis', 'NBC Sports Boston']"
2026-03-20,8:00 PM,NBA,Minnesota Timberwolves @ Portland Trail Blazers @,"['NBA League Pass', 'FanDuel Sports Network North', 'BlazerVision', 'KUNP Portland']"
2026-03-20,9:00 PM,NBA,Denver Nuggets @ Toronto Raptors @,"['NBA League Pass', 'Altitude 2', 'Sportsnet', 'Sportsnet One', 'Sportsnet NOW']"
2026-03-20,12:15 PM,MCBB,Santa Clara @ Kentucky,"['Paramount+', 'CBS']"
2026-03-20,12:40 PM,MCBB,Akron @ Texas Tech,"['Sling TV', 'HBO Max', 'truTV']"
2026-03-20,1:35 PM,MCBB,Long Island University @ Arizona,"['Sling TV', 'HBO Max', 'TNT WEB', 'TNT']"
2026-03-20,1:50 PM,MCBB,Wright State @ Virginia,"['Sling TV', 'HBO Max', 'TBS']"
2026-03-20,2:50 PM,MCBB,Tennessee State @ Iowa State,"['Paramount+', 'CBS']"
2026-03-20,3:15 PM,MCBB,Hofstra @ Alabama,"['Sling TV', 'HBO Max', 'truTV']"
2026-03-20,4:10 PM,MCBB,Utah State @ Villanova,"['Sling TV', 'HBO Max', 'TNT WEB', 'TNT']"
2026-03-20,4:25 PM,MCBB,Miami (OH) @ Tennessee,"['Sling TV', 'HBO Max', 'TBS']"
2026-03-20,6:50 PM,MCBB,Iowa @ Clemson,"['Sling TV', 'HBO Max', 'TNT WEB', 'TNT']"
2026-03-20,7:10 PM,MCBB,Northern Iowa @ St. John's,"['Paramount+', 'CBS']"
2026-03-20,7:25 PM,MCBB,UCF @ UCLA,"['Sling TV', 'HBO Max', 'TBS']"
2026-03-20,7:35 PM,MCBB,Queens University @ Purdue,"['Sling TV', 'HBO Max', 'truTV']"
2026-03-20,9:25 PM,MCBB,Prairie View A&M @ Florida,"['Sling TV', 'HBO Max', 'TNT WEB', 'TNT']"
2026-03-20,9:45 PM,MCBB,California Baptist @ Kansas,"['Paramount+', 'CBS']"
2026-03-20,10:00 PM,MCBB,Furman @ UConn,"['Sling TV', 'HBO Max', 'TBS']"
2026-03-20,10:10 PM,MCBB,Missouri @ Miami,"['Sling TV', 'HBO Max', 'truTV']"
2026-03-20,11:30 AM,WCBB,College of Charleston @ Duke,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-20,12:00 PM,WCBB,UC San Diego @ TCU,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-20,1:30 PM,WCBB,Virginia Tech @ Oregon,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-20,2:00 PM,WCBB,Nebraska @ Baylor,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-20,2:30 PM,WCBB,South Dakota State @ Washington,['ESPNews']
2026-03-20,3:00 PM,WCBB,Murray State @ Maryland,"['ESPN Unlimited', 'ESPN U']"
2026-03-20,3:30 PM,WCBB,Gonzaga @ Mississippi,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-20,4:00 PM,WCBB,Missouri State @ Texas,"['Fubo Sports', 'ESPN Unlimited', 'ESPN', 'ESPN U']"
2026-03-20,5:30 PM,WCBB,Holy Cross @ Michigan,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-20,5:30 PM,WCBB,Western Illinois @ North Carolina,['ESPNews']
2026-03-20,6:00 PM,WCBB,Jacksonville @ LSU,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-20,6:00 PM,WCBB,Green Bay @ Minnesota,"['ESPN Unlimited', 'ESPN U']"
2026-03-20,7:00 PM,WCBB,Radford @ Morehead State @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-20,7:00 PM,WCBB,Florida International @ Stetson @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-20,7:30 PM,WCBB,Colorado State @ Michigan State,['ESPNews']
2026-03-20,8:00 PM,WCBB,Tennessee @ NC State,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-20,8:30 PM,WCBB,Villanova @ Texas Tech,"['ESPN Unlimited', 'ESPN U']"
2026-03-20,10:00 PM,WCBB,Idaho @ Oklahoma,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
