Date,Time,League,Matchup,Services,DayOfWeek
2026-03-14,13:00,NBA,"Philadelphia 76ers,Brooklyn Nets",['NBA League Pass'],Saturday
2026-03-14,15:00,NBA,"Atlanta Hawks,Milwaukee Bucks",['NBA League Pass'],Saturday
2026-03-14,15:30,NBA,"San Antonio Spurs,Charlotte Hornets",['Prime Video'],Saturday
2026-03-14,18:00,NBA,"Boston Celtics,Washington Wizards",['NBA TV'],Saturday
2026-03-14,20:00,NBA,"Miami Heat,Orlando Magic",['NBA League Pass'],Saturday
2026-03-14,20:30,NBA,"Los Angeles Lakers,Denver Nuggets",['ABC'],Saturday
2026-03-14,22:30,NBA,"Los Angeles Clippers,Sacramento Kings","['Fubo Sports', 'ESPN', 'ESPN App']",Saturday
2026-03-14,11:00,MCBB,"Vermont,UMBC","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Saturday
2026-03-14,11:00,MCBB,"Cornell,Yale","['Fubo Sports', 'ESPN Unlimited', 'ESPN U', 'ESPN App']",Saturday
2026-03-14,13:00,MCBB,"North Carolina Central,Howard","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Saturday
2026-03-14,13:00,MCBB,"Vanderbilt,Florida","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Saturday
2026-03-14,13:00,MCBB,"Wisconsin,Michigan","['Paramount+', 'CBS']",Saturday
2026-03-14,13:00,MCBB,"Dayton,Saint Louis","['Fubo Sports', 'CBS Sports Network']",Saturday
2026-03-14,14:00,MCBB,"Pennsylvania,Harvard","['ESPN Unlimited', 'ESPNews']",Saturday
2026-03-14,15:00,MCBB,"Charlotte,South Florida","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Saturday
2026-03-14,15:30,MCBB,"Mississippi,Arkansas","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Saturday
2026-03-14,15:30,MCBB,"Purdue,UCLA","['Paramount+', 'CBS']",Saturday
2026-03-14,15:30,MCBB,"Saint Joseph's,VCU","['Fubo Sports', 'CBS Sports Network']",Saturday
2026-03-14,17:30,MCBB,"Tulsa,Wichita State","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Saturday
2026-03-14,18:00,MCBB,"San Diego State,Utah State","['Paramount+', 'CBS']",Saturday
2026-03-14,18:00,MCBB,"Houston,Arizona","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Saturday
2026-03-14,18:30,MCBB,"UConn,St. John's",['Fubo Sports'],Saturday
2026-03-14,19:30,MCBB,"Prairie View A&M,Southern University","['Fubo Sports', 'ESPN Unlimited', 'ESPN U']",Saturday
2026-03-14,20:00,MCBB,"Toledo,Akron","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Saturday
2026-03-14,20:30,MCBB,"Virginia,Duke","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Saturday
2026-03-14,20:30,MCBB,"Kennesaw State,Louisiana Tech","['Fubo Sports', 'CBS Sports Network']",Saturday
2026-03-14,22:00,MCBB,"Hawai'i,UC Irvine","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Saturday
2026-03-14,23:59,MCBB,"California Baptist,Utah Valley","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Saturday
2026-03-14,11:00,WCBB,"Toledo,Miami (OH)","['Fubo Sports', 'CBS Sports Network']",Saturday
2026-03-14,13:00,WCBB,"Southern University,Alabama State","['Fubo Sports', 'ESPN Unlimited', 'ESPN U']",Saturday
2026-03-14,14:30,WCBB,"Murray State,Northern Iowa","['ESPN Select', 'ESPN Unlimited']",Saturday
2026-03-14,15:30,WCBB,"Abilene Christian,California Baptist","['Fubo Sports', 'ESPN Unlimited', 'ESPN U']",Saturday
2026-03-14,16:00,WCBB,"Norfolk State,Howard","['ESPN Unlimited', 'ESPNews']",Saturday
2026-03-14,17:00,WCBB,"Illinois State,Evansville","['ESPN Select', 'ESPN Unlimited']",Saturday
2026-03-14,17:30,WCBB,"Harvard,Princeton","['Fubo Sports', 'ESPN Unlimited', 'ESPN U']",Saturday
2026-03-14,17:30,WCBB,"Missouri State,Louisiana Tech","['Fubo Sports', 'CBS Sports Network']",Saturday
2026-03-14,18:00,WCBB,"Hawai'i,UC San Diego","['ESPN Select', 'ESPN Unlimited']",Saturday
2026-03-14,21:30,WCBB,"UTSA,Rice","['Fubo Sports', 'ESPN Unlimited', 'ESPN U']",Saturday
