Date,Time,League,Matchup,Services,DayOfWeek
2026-03-19,19:00,NBA,"Charlotte Hornets,Orlando Magic",['NBA TV'],Thursday
2026-03-19,19:00,NBA,"Washington Wizards,Detroit Pistons","['NBA League Pass', 'FanDuel Sports Network Detroit Extra']",Thursday
2026-03-19,20:00,NBA,"Miami Heat,Los Angeles Lakers",['NBA League Pass'],Thursday
2026-03-19,20:00,NBA,"Chicago Bulls,Cleveland Cavaliers",['NBA League Pass'],Thursday
2026-03-19,20:00,NBA,"New Orleans Pelicans,Los Angeles Clippers",['NBA League Pass'],Thursday
2026-03-19,20:00,NBA,"San Antonio Spurs,Phoenix Suns",['NBA League Pass'],Thursday
2026-03-19,21:00,NBA,"Utah Jazz,Milwaukee Bucks",['NBA League Pass'],Thursday
2026-03-19,22:00,NBA,"Sacramento Kings,Philadelphia 76ers",['NBA League Pass'],Thursday
2026-03-19,12:15,MCBB,"TCU,Ohio State","['Paramount+', 'CBS']",Thursday
2026-03-19,13:30,MCBB,"South Florida,Louisville",['TNT'],Thursday
2026-03-19,13:50,MCBB,"High Point,Wisconsin",['TBS'],Thursday
2026-03-19,14:50,MCBB,"Siena,Duke","['Paramount+', 'CBS']",Thursday
2026-03-19,16:05,MCBB,"North Dakota State,Michigan State",['TNT'],Thursday
2026-03-19,16:25,MCBB,"Hawai'i,Arkansas",['TBS'],Thursday
2026-03-19,18:50,MCBB,"VCU,North Carolina",['TNT'],Thursday
2026-03-19,19:10,MCBB,"Howard,Michigan","['Paramount+', 'CBS']",Thursday
2026-03-19,19:25,MCBB,"Texas,BYU",['TBS'],Thursday
2026-03-19,21:25,MCBB,"Pennsylvania,Illinois",['TNT'],Thursday
2026-03-19,21:45,MCBB,"Saint Louis,University of Georgia","['Paramount+', 'CBS']",Thursday
2026-03-19,22:00,MCBB,"Kennesaw State,Gonzaga",['TBS'],Thursday
2026-03-19,18:00,WCBB,"St. Bonaventure,Drexel","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,18:00,WCBB,"Wake Forest,Maryland Eastern Shore","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,18:00,WCBB,"George Washington,Bradley","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,18:30,WCBB,"Eastern Kentucky,Utah","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,19:00,WCBB,"Samford,Southern University","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Thursday
2026-03-19,19:00,WCBB,"Georgia Southern,Miami","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,19:00,WCBB,"Navy,Harvard","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,19:00,WCBB,"St. John's,Columbia","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,19:00,WCBB,"Quinnipiac,George Mason","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,19:00,WCBB,"Seton Hall,Missouri","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,19:00,WCBB,"Austin Peay,UT Rio Grande Valley","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,19:00,WCBB,"Ohio,UMBC","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,19:30,WCBB,"Georgia Tech,Kansas State","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,19:30,WCBB,"Troy,Kansas","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,20:00,WCBB,"Chattanooga,North Dakota State","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,20:00,WCBB,"Louisiana Tech,Rice","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,20:00,WCBB,"McNeese,Texas A&M","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,21:00,WCBB,"Arizona State,Virginia","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Thursday
2026-03-19,21:00,WCBB,"Oregon State,Wisconsin","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,21:00,WCBB,"UC Irvine,San Diego State","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,21:00,WCBB,"Alabama A&M,BYU","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,21:00,WCBB,"San Francisco,Utah Valley","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,21:00,WCBB,"Portland,Sam Houston","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,21:00,WCBB,"Pepperdine,UC Davis","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,22:00,WCBB,"Santa Clara,California","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-19,22:00,WCBB,"Loyola Marymount,Stanford","['ESPN Select', 'ESPN Unlimited']",Thursday
