Date,Time,League,Matchup,Services
2026-03-16,7:00 PM,NBA,Atlanta Hawks @ Orlando Magic @,"['Peacock', 'NBC Sports Network', 'TSN']"
2026-03-16,7:00 PM,NBA,Washington Wizards @ Golden State Warriors @,"['NBA League Pass', 'NBC Sports Bay Area', 'Monumental Sports Network']"
2026-03-16,7:30 PM,NBA,Brooklyn Nets @ Portland Trail Blazers @,"['NBA League Pass', 'BlazerVision', 'YES', 'KUNP Portland', 'Gotham Sports App']"
2026-03-16,7:30 PM,NBA,Boston Celtics @ Phoenix Suns @,"['NBA League Pass', 'NBC Sports Boston', ""Arizona's Family Sports"", 'Suns+', ""Arizona's Family 3TV""]"
2026-03-16,8:00 PM,NBA,Chicago Bulls @ Memphis Grizzlies @,"['NBA League Pass', 'FanDuel Sports Network Southeast Memphis', 'Chicago Sports Network']"
2026-03-16,8:00 PM,NBA,New Orleans Pelicans @ Dallas Mavericks @,"['NBA League Pass', 'MavsTV', 'Pelicans+', 'KFAA 29', 'Gulf Coast Sports & Entertainment Network']"
2026-03-16,9:30 PM,NBA,Houston Rockets @ Los Angeles Lakers @,"['Peacock', 'Space City Home Network', 'NBC Sports Network', 'Spectrum SportsNet', 'Spectrum SportsNet+']"
2026-03-16,10:00 PM,NBA,Los Angeles Clippers @ San Antonio Spurs @,"['Peacock', 'FanDuel Sports Network SoCal', 'KENS 5', 'NBC Sports Network Extra', 'NBA TV Canada']"
