Date,Time,League,Matchup,Services,DayOfWeek
2026-03-16,19:00,NBA,"Atlanta Hawks,Orlando Magic","['Peacock', 'NBC Sports Network']",Monday
2026-03-16,19:00,NBA,"Washington Wizards,Golden State Warriors",['NBA League Pass'],Monday
2026-03-16,19:30,NBA,"Brooklyn Nets,Portland Trail Blazers",['NBA League Pass'],Monday
2026-03-16,19:30,NBA,"Boston Celtics,Phoenix Suns",['NBA League Pass'],Monday
2026-03-16,20:00,NBA,"Chicago Bulls,Memphis Grizzlies",['NBA League Pass'],Monday
2026-03-16,20:00,NBA,"New Orleans Pelicans,Dallas Mavericks",['NBA League Pass'],Monday
2026-03-16,21:30,NBA,"Houston Rockets,Los Angeles Lakers","['Peacock', 'NBC Sports Network']",Monday
2026-03-16,22:00,NBA,"Los Angeles Clippers,San Antonio Spurs",['Peacock'],Monday
