Date,Time,League,Matchup,Services
2026-03-21,5:00 PM,NBA,Washington Wizards @ Oklahoma City Thunder @,"['NBA League Pass', 'FanDuel Sports Network Oklahoma', 'Monumental Sports Network']"
2026-03-21,7:00 PM,NBA,Charlotte Hornets @ Memphis Grizzlies @,"['NBA League Pass', 'FanDuel Sports Network Southeast Charlotte', 'FanDuel Sports Network Southeast Memphis']"
2026-03-21,7:00 PM,NBA,Orlando Magic @ Los Angeles Lakers @,"['FanDuel Sports Network Florida', 'NBA TV', 'Spectrum SportsNet', 'Spectrum SportsNet+', 'NBA TV Canada']"
2026-03-21,7:00 PM,NBA,New Orleans Pelicans @ Cleveland Cavaliers @,"['NBA League Pass', 'FanDuel Sports Network Ohio', 'Pelicans+', 'Gulf Coast Sports & Entertainment Network']"
2026-03-21,8:00 PM,NBA,Atlanta Hawks @ Golden State Warriors @,"['NBA League Pass', 'FanDuel Sports Network Southeast Atlanta', 'NBC Sports Bay Area']"
2026-03-21,8:00 PM,NBA,Houston Rockets @ Miami Heat @,"['NBA League Pass', 'Space City Home Network', 'FanDuel Sports Network Sun', 'Sportsnet NOW', 'Sportsnet+']"
2026-03-21,8:00 PM,NBA,San Antonio Spurs @ Indiana Pacers @,"['NBA League Pass', 'FanDuel Sports Network Indiana', 'FanDuel Sports Network Southwest']"
2026-03-21,8:30 PM,NBA,Dallas Mavericks @ Los Angeles Clippers @,"['NBA League Pass', 'FanDuel Sports Network SoCal', 'MavsTV', 'KTLA 5', 'KFAA 29']"
2026-03-21,9:30 PM,NBA,Utah Jazz @ Philadelphia 76ers @,"['NBA League Pass', 'NBC Sports Philadelphia', 'Jazz+', 'KJZZ 14']"
2026-03-21,10:00 PM,NBA,Phoenix Suns @ Milwaukee Bucks @,"['FanDuel Sports Network Wisconsin', 'NBA TV', ""Arizona's Family Sports"", 'Suns+', ""Arizona's Family 3TV""]"
2026-03-21,12:10 PM,MCBB,Saint Louis @ Michigan,"['Paramount+', 'CBS']"
2026-03-21,2:45 PM,MCBB,Louisville @ Michigan State,"['Paramount+', 'CBS']"
2026-03-21,5:15 PM,MCBB,TCU @ Duke,"['Paramount+', 'CBS']"
2026-03-21,5:30 PM,MCBB,Christopher Newport @ Emory,"['ESPN Select', 'ESPN Unlimited']"
2026-03-21,6:10 PM,MCBB,Texas A&M @ Houston,"['Sling TV', 'HBO Max', 'TNT']"
2026-03-21,7:00 PM,MCBB,Dayton @ UNC Wilmington,"['ESPN Select', 'ESPN Unlimited']"
2026-03-21,7:10 PM,MCBB,Texas @ Gonzaga,"['Sling TV', 'HBO Max', 'TBS', 'truTV']"
2026-03-21,7:50 PM,MCBB,VCU @ Illinois,"['Paramount+', 'CBS']"
2026-03-21,8:00 PM,MCBB,Mary Washington @ Trinity (CT),"['ESPN Select', 'ESPN Unlimited']"
2026-03-21,8:45 PM,MCBB,Vanderbilt @ Nebraska,"['Sling TV', 'HBO Max', 'TNT']"
2026-03-21,9:00 PM,MCBB,Liberty @ Nevada,"['ESPN Select', 'ESPN Unlimited']"
2026-03-21,9:45 PM,MCBB,High Point @ Arkansas,"['Sling TV', 'HBO Max', 'TBS', 'truTV']"
2026-03-21,11:30 AM,WCBB,Howard @ Ohio State,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-21,12:00 PM,WCBB,Vermont @ Louisville,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-21,2:00 PM,WCBB,Fairfield @ Notre Dame,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-21,2:00 PM,WCBB,Norfolk State @ Loyola Chicago @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-21,2:30 PM,WCBB,Rhode Island @ Alabama,['ESPNews']
2026-03-21,2:30 PM,WCBB,James Madison @ Kentucky,"['ESPN Unlimited', 'ESPN U']"
2026-03-21,2:30 PM,WCBB,Unknown Away @ ACC Championships,"['ESPN Unlimited', 'ACC Network']"
2026-03-21,3:00 PM,WCBB,UTSA @ UConn,"['ESPN Unlimited', 'ABC']"
2026-03-21,3:30 PM,WCBB,Southern Cal @ Clemson,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-21,4:00 PM,WCBB,Fairleigh Dickinson @ Iowa,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-21,5:00 PM,WCBB,Miami (OH) @ West Virginia,"['ESPN Unlimited', 'ESPN U']"
2026-03-21,5:30 PM,WCBB,Syracuse @ Iowa State,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-21,7:00 PM,WCBB,High Point @ Vanderbilt,['ESPNews']
2026-03-21,7:00 PM,WCBB,Unknown Away @ ACC Championships,"['ESPN Unlimited', 'ACC Network']"
2026-03-21,7:30 PM,WCBB,Princeton @ Oklahoma State,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-21,9:30 PM,WCBB,Colorado @ Illinois,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-21,10:00 PM,WCBB,California Baptist @ UCLA,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
