Date,Time,League,Matchup,Services
2026-03-13,7:30 PM,NBA,Detroit Pistons @ Memphis Grizzlies @,"['NBA League Pass', 'Detroit SportsNet', 'FanDuel Sports Network Southeast Memphis']"
2026-03-13,7:30 PM,NBA,Indiana Pacers @ New York Knicks @,"['NBA League Pass', 'FanDuel Sports Network Indiana', 'MSG Sportsnet', 'Gotham Sports App', 'NBA TV Canada']"
2026-03-13,7:30 PM,NBA,Toronto Raptors @ Phoenix Suns @,"['NBA League Pass', ""Arizona's Family Sports"", 'Suns+', ""Arizona's Family 3TV"", 'TSN']"
2026-03-13,7:30 PM,NBA,Dallas Mavericks @ Cleveland Cavaliers @,"['Prime Video', 'MavsTV', 'KFAA 29', 'WFAA']"
2026-03-13,8:00 PM,NBA,Houston Rockets @ New Orleans Pelicans @,"['NBA League Pass', 'Space City Home Network', 'Pelicans+', 'Gulf Coast Sports & Entertainment Network']"
2026-03-13,10:00 PM,NBA,Golden State Warriors @ Minnesota Timberwolves @,"['Prime Video', 'NBC Sports Bay Area', 'TSN']"
2026-03-13,10:00 PM,NBA,Portland Trail Blazers @ Utah Jazz @,"['NBA League Pass', 'BlazerVision', 'Jazz+', 'KJZZ 14', 'KUNP Portland']"
2026-03-13,10:30 PM,NBA,Los Angeles Clippers @ Chicago Bulls @,"['NBA League Pass', 'FanDuel Sports Network SoCal', 'Chicago Sports Network', 'KTLA 5']"
2026-03-13,1:00 PM,MCBB,Kentucky @ Florida,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-13,1:00 PM,MCBB,Charlotte @ UAB,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-13,2:00 PM,MCBB,Prairie View A&M @ Alabama A&M,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,2:00 PM,MCBB,St. Bonaventure @ Dayton,"['Fubo Sports', 'USA Network']"
2026-03-13,2:30 PM,MCBB,Wisconsin @ Illinois,"['Big Ten Network', 'DAZN Canada']"
2026-03-13,3:00 PM,MCBB,Kennesaw State @ Sam Houston,"['Fubo Sports', 'CBS Sports Network']"
2026-03-13,3:30 PM,MCBB,Tennessee @ Vanderbilt,"['ESPN Unlimited', 'ESPN', 'TSN1', 'TSN3']"
2026-03-13,3:30 PM,MCBB,North Texas @ Tulsa,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-13,5:00 PM,MCBB,Duquesne @ VCU,"['Fubo Sports', 'USA Network']"
2026-03-13,5:00 PM,MCBB,Toledo @ UMass Amherst @,"['Fubo Sports', 'CBS Sports Network']"
2026-03-13,5:30 PM,MCBB,Seton Hall @ St. John's,"['Fubo Sports', 'FOX', 'DAZN Canada']"
2026-03-13,6:00 PM,MCBB,South Carolina State @ Howard,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,6:30 PM,MCBB,Purdue @ Nebraska,"['Big Ten Network', 'DAZN Canada']"
2026-03-13,7:00 PM,MCBB,Miami @ Virginia,"['ESPN Unlimited', 'ESPN2']"
2026-03-13,7:00 PM,MCBB,Mississippi @ Alabama,"['ESPN Unlimited', 'SEC Network']"
2026-03-13,7:00 PM,MCBB,Iowa State @ Arizona,"['ESPN Unlimited', 'ESPN']"
2026-03-13,7:30 PM,MCBB,Davidson @ Saint Joseph's,['CNBC']
2026-03-13,7:30 PM,MCBB,Akron @ Kent State @,"['Fubo Sports', 'CBS Sports Network']"
2026-03-13,8:00 PM,MCBB,Delaware State @ North Carolina Central,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,8:00 PM,MCBB,Georgetown @ UConn,"['FOX Sports 1', 'FOX Sports 1 4K', 'DAZN Canada']"
2026-03-13,8:30 PM,MCBB,Southern University @ Florida A&M,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,9:00 PM,MCBB,UT Arlington @ Utah Valley,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,9:00 PM,MCBB,CSU Northridge @ UC Irvine,"['ESPN Unlimited', 'ESPN U']"
2026-03-13,9:00 PM,MCBB,UCLA @ Michigan State,"['Big Ten Network', 'DAZN Canada']"
2026-03-13,9:30 PM,MCBB,Clemson @ Duke,"['ESPN Unlimited', 'ESPN2']"
2026-03-13,9:30 PM,MCBB,Oklahoma @ Arkansas,"['ESPN Unlimited', 'SEC Network']"
2026-03-13,9:30 PM,MCBB,Nevada @ Utah State,"['Fubo Sports', 'CBS Sports Network']"
2026-03-13,9:30 PM,MCBB,Kansas @ Houston,"['ESPN Unlimited', 'ESPN']"
2026-03-13,11:30 PM,MCBB,Utah Tech @ California Baptist,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,11:30 PM,MCBB,CSU Fullerton @ Hawai'i,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-13,11:59 PM,MCBB,New Mexico @ San Diego State,"['Fubo Sports', 'CBS Sports Network']"
2026-03-13,1:00 PM,WCBB,Indiana State @ Murray State,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,2:00 PM,WCBB,Norfolk State @ Maryland Eastern Shore,"['ESPN Select', 'ESPN Unlimited']"
