Date,Time,League,Matchup,Services
2026-03-13,3:00 PM,WCBB,Tarleton State @ California Baptist,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,3:00 PM,WCBB,Hawai'i @ UC Irvine,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,3:30 PM,WCBB,Bradley @ Northern Iowa,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,4:30 PM,WCBB,Brown @ Princeton,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,5:00 PM,WCBB,Maine @ Vermont,"['Fubo Sports', 'ESPN Unlimited', 'ESPN U', 'ESPN App']"
2026-03-13,5:30 PM,WCBB,UT Arlington @ Abilene Christian,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,5:30 PM,WCBB,Arkansas-Pine Bluff @ Alabama State,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,5:30 PM,WCBB,UC Davis @ UC San Diego,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,6:30 PM,WCBB,Liberty @ Louisiana Tech,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,7:00 PM,WCBB,Evansville @ Belmont,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,7:00 PM,WCBB,North Texas @ Rice,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,7:30 PM,WCBB,Harvard @ Columbia,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,9:00 PM,WCBB,Missouri State @ Florida International,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,9:30 PM,WCBB,Drake @ Illinois State,"['ESPN Select', 'ESPN Unlimited']"
2026-03-13,9:30 PM,WCBB,UTSA @ East Carolina,"['ESPN Select', 'ESPN Unlimited']"
