Date,Time,League,Matchup,Services,DayOfWeek
2026-03-20,19:30,NBA,"Brooklyn Nets,New York Knicks",['NBA League Pass'],Friday
2026-03-20,19:30,NBA,"Detroit Pistons,Golden State Warriors","['NBA League Pass', 'Detroit SportsNet']",Friday
2026-03-20,20:00,NBA,"Houston Rockets,Atlanta Hawks",['NBA TV'],Friday
2026-03-20,20:00,NBA,"Memphis Grizzlies,Boston Celtics",['NBA League Pass'],Friday
2026-03-20,20:00,NBA,"Minnesota Timberwolves,Portland Trail Blazers",['NBA League Pass'],Friday
2026-03-20,21:00,NBA,"Denver Nuggets,Toronto Raptors",['NBA League Pass'],Friday
2026-03-20,12:15,MCBB,"Santa Clara,Kentucky","['Paramount+', 'CBS']",Friday
2026-03-20,13:35,MCBB,"Long Island University,Arizona",['TNT'],Friday
2026-03-20,13:50,MCBB,"Wright State,Virginia",['TBS'],Friday
2026-03-20,14:50,MCBB,"Tennessee State,Iowa State","['Paramount+', 'CBS']",Friday
2026-03-20,16:10,MCBB,"Utah State,Villanova",['TNT'],Friday
2026-03-20,16:25,MCBB,"Miami (OH),Tennessee",['TBS'],Friday
2026-03-20,18:50,MCBB,"Iowa,Clemson",['TNT'],Friday
2026-03-20,19:10,MCBB,"Northern Iowa,St. John's","['Paramount+', 'CBS']",Friday
2026-03-20,19:25,MCBB,"UCF,UCLA",['TBS'],Friday
2026-03-20,21:25,MCBB,"Prairie View A&M,Florida",['TNT'],Friday
2026-03-20,21:45,MCBB,"California Baptist,Kansas","['Paramount+', 'CBS']",Friday
2026-03-20,22:00,MCBB,"Furman,UConn",['TBS'],Friday
2026-03-20,11:30,WCBB,"College of Charleston,Duke","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Friday
2026-03-20,12:00,WCBB,"UC San Diego,TCU","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Friday
2026-03-20,13:30,WCBB,"Virginia Tech,Oregon","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Friday
2026-03-20,14:00,WCBB,"Nebraska,Baylor","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Friday
2026-03-20,14:30,WCBB,"South Dakota State,Washington",['ESPNews'],Friday
2026-03-20,15:00,WCBB,"Murray State,Maryland","['ESPN Unlimited', 'ESPN U']",Friday
2026-03-20,15:30,WCBB,"Gonzaga,Mississippi","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Friday
2026-03-20,16:00,WCBB,"Missouri State,Texas","['Fubo Sports', 'ESPN Unlimited', 'ESPN', 'ESPN U']",Friday
2026-03-20,17:30,WCBB,"Holy Cross,Michigan","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Friday
2026-03-20,17:30,WCBB,"Western Illinois,North Carolina",['ESPNews'],Friday
2026-03-20,18:00,WCBB,"Jacksonville,LSU","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Friday
2026-03-20,18:00,WCBB,"Green Bay,Minnesota","['ESPN Unlimited', 'ESPN U']",Friday
2026-03-20,19:00,WCBB,"Radford,Morehead State","['ESPN Select', 'ESPN Unlimited']",Friday
2026-03-20,19:00,WCBB,"Florida International,Stetson","['ESPN Select', 'ESPN Unlimited']",Friday
2026-03-20,19:30,WCBB,"Colorado State,Michigan State",['ESPNews'],Friday
2026-03-20,20:00,WCBB,"Tennessee,NC State","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Friday
2026-03-20,20:30,WCBB,"Villanova,Texas Tech","['ESPN Unlimited', 'ESPN U']",Friday
2026-03-20,22:00,WCBB,"Idaho,Oklahoma","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Friday
