Date,Time,League,Matchup,Services,DayOfWeek
2026-03-15,13:00,NBA,"Oklahoma City Thunder,Minnesota Timberwolves",['ABC'],Sunday
2026-03-15,15:30,NBA,"Cleveland Cavaliers,Dallas Mavericks",['NBA TV'],Sunday
2026-03-15,15:30,NBA,"Toronto Raptors,Detroit Pistons","['NBA League Pass', 'Detroit SportsNet']",Sunday
2026-03-15,15:30,NBA,"Milwaukee Bucks,Indiana Pacers",['NBA League Pass'],Sunday
2026-03-15,18:00,NBA,"Philadelphia 76ers,Portland Trail Blazers",['NBA League Pass'],Sunday
2026-03-15,20:00,NBA,"New York Knicks,Golden State Warriors","['Peacock', 'NBC', 'Telemundo']",Sunday
2026-03-15,22:00,NBA,"Sacramento Kings,Utah Jazz",['NBA League Pass'],Sunday
2026-03-15,13:00,MCBB,"Vanderbilt,Arkansas","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Sunday
2026-03-15,13:00,MCBB,"Dayton,VCU","['Paramount+', 'CBS']",Sunday
2026-03-15,15:15,MCBB,"Wichita State,South Florida","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Sunday
2026-03-15,15:30,MCBB,"Purdue,Michigan","['Paramount+', 'CBS']",Sunday
2026-03-15,18:00,MCBB,"Unknown Away,Selection Sunday Live - Men's Tournament","['Fubo Sports', 'Paramount+', 'CBS']",Sunday
2026-03-15,14:00,WCBB,"Evansville,Murray State","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Sunday
2026-03-15,14:00,WCBB,"Hofstra,College of Charleston","['Fubo Sports', 'CBS Sports Network']",Sunday
2026-03-15,20:00,WCBB,"Unknown Away,Selection Sunday Live - Women's Tournament","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Sunday
