Date,Time,League,Matchup,Services,DayOfWeek
2026-03-12,19:00,NBA,"Detroit Pistons,Philadelphia 76ers",['Prime Video'],Thursday
2026-03-12,19:00,NBA,"Indiana Pacers,Phoenix Suns",['NBA League Pass'],Thursday
2026-03-12,19:00,NBA,"Orlando Magic,Washington Wizards",['NBA League Pass'],Thursday
2026-03-12,19:30,NBA,"Atlanta Hawks,Brooklyn Nets",['NBA League Pass'],Thursday
2026-03-12,19:30,NBA,"Miami Heat,Milwaukee Bucks",['NBA League Pass'],Thursday
2026-03-12,20:00,NBA,"Memphis Grizzlies,Dallas Mavericks",['NBA League Pass'],Thursday
2026-03-12,21:00,NBA,"San Antonio Spurs,Denver Nuggets",['NBA League Pass'],Thursday
2026-03-12,21:30,NBA,"Oklahoma City Thunder,Boston Celtics",['Prime Video'],Thursday
2026-03-12,22:30,NBA,"Los Angeles Lakers,Chicago Bulls",['NBA League Pass'],Thursday
2026-03-12,14:30,MCBB,"Louisville,Miami","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Thursday
2026-03-12,14:30,MCBB,"Washington,Wisconsin",['Big Ten Network'],Thursday
2026-03-12,14:30,MCBB,"Creighton,Seton Hall","['Peacock', 'NBC Sports Network']",Thursday
2026-03-12,15:00,MCBB,"Auburn,Tennessee","['ESPN Unlimited', 'SEC Network']",Thursday
2026-03-12,15:00,MCBB,"UNLV,Utah State","['Fubo Sports', 'CBS Sports Network']",Thursday
2026-03-12,15:00,MCBB,"UCF,Arizona","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Thursday
2026-03-12,16:00,MCBB,"Buffalo,Akron","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,17:00,MCBB,"Rhode Island,Duquesne","['Fubo Sports', 'USA Network']",Thursday
2026-03-12,17:30,MCBB,"Nevada,Grand Canyon","['Fubo Sports', 'CBS Sports Network']",Thursday
2026-03-12,18:00,MCBB,"South Carolina State,Norfolk State","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,18:30,MCBB,"Middle Tennessee,Louisiana Tech","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,18:30,MCBB,"Northwestern,Purdue",['Big Ten Network'],Thursday
2026-03-12,18:30,MCBB,"Ohio,Kent State","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,19:00,MCBB,"Florida State,Duke","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Thursday
2026-03-12,19:00,MCBB,"Mississippi,University of Georgia","['ESPN Unlimited', 'SEC Network']",Thursday
2026-03-12,19:00,MCBB,"Xavier,UConn",['Fubo Sports'],Thursday
2026-03-12,19:00,MCBB,"BYU,Houston","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Thursday
2026-03-12,19:00,MCBB,"Tulane,Charlotte","['Fubo Sports', 'ESPN Unlimited', 'ESPN U', 'ESPN App']",Thursday
2026-03-12,19:30,MCBB,"Loyola Chicago,Davidson","['Fubo Sports', 'USA Network']",Thursday
2026-03-12,20:00,MCBB,"Maryland Eastern Shore,North Carolina Central","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,20:30,MCBB,"Arkansas-Pine Bluff,Southern University","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,21:00,MCBB,"Southern Utah,UT Arlington","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,21:00,MCBB,"Colorado State,San Diego State","['Fubo Sports', 'CBS Sports Network']",Thursday
