Date,Time,League,Matchup,Services,DayOfWeek
2026-03-12,21:00,MCBB,"Kennesaw State,Western Kentucky","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,21:00,MCBB,"UC San Diego,CSU Northridge","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,21:00,MCBB,"Rutgers,UCLA",['Big Ten Network'],Thursday
2026-03-12,21:30,MCBB,"Clemson,North Carolina","['Fubo Sports', 'ESPN Unlimited', 'ESPN']",Thursday
2026-03-12,21:30,MCBB,"Oklahoma,Texas A&M","['ESPN Unlimited', 'SEC Network']",Thursday
2026-03-12,21:30,MCBB,"Georgetown,Villanova",['Fubo Sports'],Thursday
2026-03-12,21:30,MCBB,"TCU,Kansas","['Fubo Sports', 'ESPN Unlimited', 'ESPN2']",Thursday
2026-03-12,21:30,MCBB,"Florida Atlantic,North Texas","['Fubo Sports', 'ESPN Unlimited', 'ESPN U', 'ESPN App']",Thursday
2026-03-12,23:30,MCBB,"Abilene Christian,Utah Tech","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,23:30,MCBB,"San José State,New Mexico","['Fubo Sports', 'CBS Sports Network']",Thursday
2026-03-12,23:30,MCBB,"UC Davis,CSU Fullerton","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,15:00,WCBB,"Tarleton State,Utah Valley","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,15:00,WCBB,"Missouri State,Middle Tennessee","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,15:00,WCBB,"CSU Fullerton,Hawai'i","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,15:00,WCBB,"South Florida,UTSA","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,16:30,WCBB,"Indiana State,Southern Illinois","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,17:00,WCBB,"Stephen F. Austin,McNeese","['Fubo Sports', 'ESPN Unlimited', 'ESPN U', 'ESPN App']",Thursday
2026-03-12,17:30,WCBB,"Grambling State,Alabama State","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,18:00,WCBB,"Army,Holy Cross","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,19:00,WCBB,"Long Island University,Mercyhurst","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,19:00,WCBB,"Le Moyne,Fairleigh Dickinson","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,19:00,WCBB,"Evansville,UIC","['ESPN Select', 'ESPN Unlimited']",Thursday
2026-03-12,21:30,WCBB,"Valparaiso,Drake","['ESPN Select', 'ESPN Unlimited']",Thursday
