Date,Time,League,Matchup,Services
2026-03-19,7:00 PM,NBA,Charlotte Hornets @ Orlando Magic @,"['FanDuel Sports Network Florida', 'FanDuel Sports Network Southeast Charlotte', 'NBA TV', 'NBA TV Canada']"
2026-03-19,7:00 PM,NBA,Washington Wizards @ Detroit Pistons @,"['NBA League Pass', 'FanDuel Sports Network Detroit Extra', 'Monumental Sports Network']"
2026-03-19,8:00 PM,NBA,Miami Heat @ Los Angeles Lakers @,"['NBA League Pass', 'FanDuel Sports Network Sun', 'Spectrum SportsNet', 'Spectrum SportsNet+', 'Sportsnet']"
2026-03-19,8:00 PM,NBA,Chicago Bulls @ Cleveland Cavaliers @,"['NBA League Pass', 'FanDuel Sports Network Ohio', 'Chicago Sports Network']"
2026-03-19,8:00 PM,NBA,New Orleans Pelicans @ Los Angeles Clippers @,"['NBA League Pass', 'FanDuel Sports Network SoCal', 'Pelicans+', 'Gulf Coast Sports & Entertainment Network']"
2026-03-19,8:00 PM,NBA,San Antonio Spurs @ Phoenix Suns @,"['NBA League Pass', 'FanDuel Sports Network Southwest', ""Arizona's Family Sports"", 'Suns+', ""Arizona's Family 3TV""]"
2026-03-19,9:00 PM,NBA,Utah Jazz @ Milwaukee Bucks @,"['NBA League Pass', 'FanDuel Sports Network Wisconsin', 'Jazz+', 'KJZZ 14']"
2026-03-19,10:00 PM,NBA,Sacramento Kings @ Philadelphia 76ers @,"['NBA League Pass', 'NBC Sports California', 'NBC Sports Philadelphia Plus', 'NBA TV Canada']"
2026-03-19,12:15 PM,MCBB,TCU @ Ohio State,"['Paramount+', 'CBS', 'WUSA 9', 'WBZ-TV', 'WIVB 4']"
2026-03-19,12:40 PM,MCBB,Troy @ Nebraska,"['Sling TV', 'HBO Max', 'truTV']"
2026-03-19,1:30 PM,MCBB,South Florida @ Louisville,"['Sling TV', 'HBO Max', 'TNT WEB', 'TNT']"
2026-03-19,1:50 PM,MCBB,High Point @ Wisconsin,"['Sling TV', 'HBO Max', 'TBS']"
2026-03-19,2:50 PM,MCBB,Siena @ Duke,"['Paramount+', 'CBS', 'WUSA 9', 'WBZ-TV', 'WIVB 4']"
2026-03-19,3:15 PM,MCBB,McNeese @ Vanderbilt,"['Sling TV', 'HBO Max', 'truTV']"
2026-03-19,4:05 PM,MCBB,North Dakota State @ Michigan State,"['Sling TV', 'HBO Max', 'TNT WEB', 'TNT']"
2026-03-19,4:25 PM,MCBB,Hawai'i @ Arkansas,"['Sling TV', 'HBO Max', 'TBS']"
2026-03-19,6:50 PM,MCBB,VCU @ North Carolina,"['Sling TV', 'HBO Max', 'TNT WEB', 'TNT']"
2026-03-19,7:10 PM,MCBB,Howard @ Michigan,"['Paramount+', 'CBS']"
2026-03-19,7:25 PM,MCBB,Texas @ BYU,"['Sling TV', 'HBO Max', 'TBS']"
2026-03-19,7:35 PM,MCBB,Texas A&M @ St. Mary's,"['Sling TV', 'HBO Max', 'truTV']"
2026-03-19,9:25 PM,MCBB,Pennsylvania @ Illinois,"['Sling TV', 'HBO Max', 'TNT WEB', 'TNT']"
2026-03-19,9:45 PM,MCBB,Saint Louis @ University of Georgia,"['Paramount+', 'CBS', 'WUSA 9', 'WBZ-TV', 'WIVB 4']"
2026-03-19,10:00 PM,MCBB,Kennesaw State @ Gonzaga,"['Sling TV', 'HBO Max', 'TBS']"
2026-03-19,10:10 PM,MCBB,Idaho @ Houston,"['Sling TV', 'HBO Max', 'truTV']"
2026-03-19,6:00 PM,WCBB,Mercyhurst @ Binghamton @,['NEC Front Row']
2026-03-19,6:00 PM,WCBB,Monmouth @ Lehigh @,['NBC Sports Philadelphia Plus']
2026-03-19,6:00 PM,WCBB,St. Bonaventure @ Drexel @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,6:00 PM,WCBB,Wake Forest @ Maryland Eastern Shore @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,6:00 PM,WCBB,George Washington @ Bradley @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,6:30 PM,WCBB,Eastern Kentucky @ Utah,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,7:00 PM,WCBB,Samford @ Southern University,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-19,7:00 PM,WCBB,Georgia Southern @ Miami,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,7:00 PM,WCBB,Navy @ Harvard,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,7:00 PM,WCBB,St. John's @ Columbia,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,7:00 PM,WCBB,Quinnipiac @ George Mason,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,7:00 PM,WCBB,Seton Hall @ Missouri,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,7:00 PM,WCBB,Austin Peay @ UT Rio Grande Valley @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,7:00 PM,WCBB,Ohio @ UMBC @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,7:30 PM,WCBB,Georgia Tech @ Kansas State,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,7:30 PM,WCBB,Troy @ Kansas,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,8:00 PM,WCBB,Chattanooga @ North Dakota State,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,8:00 PM,WCBB,Louisiana Tech @ Rice,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,8:00 PM,WCBB,McNeese @ Texas A&M,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,8:30 PM,WCBB,Air Force @ Northern Colorado @,['Mountain West']
2026-03-19,9:00 PM,WCBB,Arizona State @ Virginia,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-19,9:00 PM,WCBB,Oregon State @ Wisconsin,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,9:00 PM,WCBB,UC Irvine @ San Diego State,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,9:00 PM,WCBB,Alabama A&M @ BYU,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,9:00 PM,WCBB,San Francisco @ Utah Valley @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,9:00 PM,WCBB,Portland @ Sam Houston @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,9:00 PM,WCBB,Pepperdine @ UC Davis @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,10:00 PM,WCBB,Santa Clara @ California,"['ESPN Select', 'ESPN Unlimited']"
2026-03-19,10:00 PM,WCBB,Loyola Marymount @ Stanford,"['ESPN Select', 'ESPN Unlimited']"
