Date,Time,League,Matchup,Services
2026-03-18,7:00 PM,NBA,Boston Celtics @ Golden State Warriors @,"['Fubo Sports', 'ESPN Unlimited', 'ESPN', 'ESPN Deportes', 'ESPN App']"
2026-03-18,7:30 PM,NBA,Brooklyn Nets @ Oklahoma City Thunder @,"['NBA League Pass', 'FanDuel Sports Network Oklahoma', 'YES', 'Gotham Sports App']"
2026-03-18,7:30 PM,NBA,Indiana Pacers @ Portland Trail Blazers @,"['NBA League Pass', 'FanDuel Sports Network Indiana', 'BlazerVision', 'KUNP Portland']"
2026-03-18,8:00 PM,NBA,Chicago Bulls @ Toronto Raptors @,"['NBA League Pass', 'Chicago Sports Network', 'TSN']"
2026-03-18,8:00 PM,NBA,Minnesota Timberwolves @ Utah Jazz @,"['NBA League Pass', 'FanDuel Sports Network North', 'Jazz+', 'KJZZ 14']"
2026-03-18,8:00 PM,NBA,New Orleans Pelicans @ Los Angeles Clippers @,"['NBA League Pass', 'FanDuel Sports Network SoCal', 'Pelicans+', 'Gulf Coast Sports & Entertainment Network', 'NBA TV Canada']"
2026-03-18,8:30 PM,NBA,Dallas Mavericks @ Atlanta Hawks @,"['NBA League Pass', 'FanDuel Sports Network Southeast Atlanta', 'MavsTV', 'Atlanta News First', 'Peachtree Sports Network']"
2026-03-18,8:30 PM,NBA,Memphis Grizzlies @ Denver Nuggets @,"['NBA League Pass', 'Altitude', 'FanDuel Sports Network Southeast Memphis', 'KTVD 20']"
2026-03-18,9:30 PM,NBA,Houston Rockets @ Los Angeles Lakers @,"['Fubo Sports', 'ESPN Unlimited', 'ESPN', 'ESPN Deportes', 'ESPN App']"
2026-03-18,6:40 PM,MCBB,Prairie View A&M @ Lehigh,"['Sling TV', 'HBO Max', 'truTV']"
2026-03-18,7:00 PM,MCBB,Navy @ Wake Forest,"['ESPN Unlimited', 'ESPN U']"
2026-03-18,8:00 PM,MCBB,Kent State @ Illinois State,"['ESPN Select', 'ESPN Unlimited']"
2026-03-18,8:00 PM,MCBB,George Washington @ Utah Valley,"['ESPN Select', 'ESPN Unlimited']"
2026-03-18,9:00 PM,MCBB,Dayton @ Bradley,"['ESPN Unlimited', 'ESPN U']"
2026-03-18,9:00 PM,MCBB,Sam Houston @ New Mexico,"['ESPN Select', 'ESPN Unlimited']"
2026-03-18,9:15 PM,MCBB,Miami (OH) @ SMU,"['Sling TV', 'HBO Max', 'truTV']"
2026-03-18,10:00 PM,MCBB,Murray State @ Nevada,"['ESPN Select', 'ESPN Unlimited']"
2026-03-18,11:00 PM,MCBB,Saint Joseph's @ Colorado State,"['ESPN Unlimited', 'ESPN U']"
2026-03-18,11:00 PM,MCBB,UIC @ California,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-18,7:00 PM,WCBB,Richmond @ Nebraska,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-18,9:00 PM,WCBB,Stephen F. Austin @ Missouri State,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
