Date,Time,League,Matchup,Services
2026-03-15,1:00 PM,NBA,Oklahoma City Thunder @ Minnesota Timberwolves @,['ABC']
2026-03-15,3:30 PM,NBA,Cleveland Cavaliers @ Dallas Mavericks @,"['FanDuel Sports Network Ohio', 'MavsTV', 'NBA TV', 'CW 43', 'KFAA 29']"
2026-03-15,3:30 PM,NBA,Toronto Raptors @ Detroit Pistons @,"['NBA League Pass', 'Detroit SportsNet', 'Sportsnet', 'Sportsnet One', 'Sportsnet NOW']"
2026-03-15,3:30 PM,NBA,Milwaukee Bucks @ Indiana Pacers @,"['NBA League Pass', 'FanDuel Sports Network Indiana', 'FanDuel Sports Network Wisconsin']"
2026-03-15,6:00 PM,NBA,Philadelphia 76ers @ Portland Trail Blazers @,"['NBA League Pass', 'BlazerVision', 'NBC Sports Philadelphia', 'KUNP Portland', 'NBA TV Canada']"
2026-03-15,8:00 PM,NBA,New York Knicks @ Golden State Warriors @,"['Peacock', 'NBC', 'Telemundo']"
2026-03-15,10:00 PM,NBA,Sacramento Kings @ Utah Jazz @,"['NBA League Pass', 'NBC Sports California', 'Jazz+', 'KJZZ 14', 'NBA TV Canada']"
2026-03-15,1:00 PM,MCBB,Vanderbilt @ Arkansas,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-15,1:00 PM,MCBB,Dayton @ VCU,"['Paramount+', 'CBS']"
2026-03-15,3:15 PM,MCBB,Wichita State @ South Florida,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-15,3:30 PM,MCBB,Purdue @ Michigan,"['Paramount+', 'CBS', 'DAZN Canada']"
2026-03-15,6:00 PM,MCBB,Unknown Away @ Selection Sunday Live - Men's Tournament,"['Fubo Sports', 'Paramount+', 'CBS']"
2026-03-15,2:00 PM,WCBB,Evansville @ Murray State,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-15,2:00 PM,WCBB,Hofstra @ College of Charleston,"['Fubo Sports', 'CBS Sports Network']"
2026-03-15,8:00 PM,WCBB,Unknown Away @ Selection Sunday Live - Women's Tournament,"['Fubo Sports', 'ESPN Unlimited', 'ESPN', 'Disney+']"
