Date,Time,League,Matchup,Services
2026-03-12,7:00 PM,NBA,Detroit Pistons @ Philadelphia 76ers @,['Prime Video']
2026-03-12,7:00 PM,NBA,Indiana Pacers @ Phoenix Suns @,"['NBA League Pass', 'FanDuel Sports Network Indiana', ""Arizona's Family Sports"", 'WTHR Channel 13', 'Suns+']"
2026-03-12,7:00 PM,NBA,Orlando Magic @ Washington Wizards @,"['NBA League Pass', 'FanDuel Sports Network Florida', 'Monumental Sports Network']"
2026-03-12,7:30 PM,NBA,Atlanta Hawks @ Brooklyn Nets @,"['NBA League Pass', 'FanDuel Sports Network Southeast Atlanta', 'YES', 'Gotham Sports App']"
2026-03-12,7:30 PM,NBA,Miami Heat @ Milwaukee Bucks @,"['NBA League Pass', 'FanDuel Sports Network Sun', 'FanDuel Sports Network Wisconsin', 'The M', 'Sportsnet NOW']"
2026-03-12,8:00 PM,NBA,Memphis Grizzlies @ Dallas Mavericks @,"['NBA League Pass', 'FanDuel Sports Network Southeast Memphis', 'MavsTV', 'KFAA 29', 'WFAA']"
2026-03-12,9:00 PM,NBA,San Antonio Spurs @ Denver Nuggets @,"['NBA League Pass', 'Altitude', 'FanDuel Sports Network Southwest', 'TSN']"
2026-03-12,9:30 PM,NBA,Oklahoma City Thunder @ Boston Celtics @,"['Prime Video', 'FanDuel Sports Network Oklahoma', 'NBC Sports Boston', 'Sportsnet', 'Sportsnet 360']"
2026-03-12,10:30 PM,NBA,Los Angeles Lakers @ Chicago Bulls @,"['NBA League Pass', 'Chicago Sports Network Plus', 'Spectrum SportsNet', 'Spectrum SportsNet+', 'NBA TV Canada']"
2026-03-12,2:30 PM,MCBB,Louisville @ Miami,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-12,2:30 PM,MCBB,Washington @ Wisconsin,"['Big Ten Network', 'DAZN Canada']"
2026-03-12,2:30 PM,MCBB,Creighton @ Seton Hall,"['Peacock', 'NBC Sports Network']"
2026-03-12,3:00 PM,MCBB,Auburn @ Tennessee,"['ESPN Unlimited', 'SEC Network']"
2026-03-12,3:00 PM,MCBB,UNLV @ Utah State,"['Fubo Sports', 'CBS Sports Network']"
2026-03-12,3:00 PM,MCBB,UCF @ Arizona,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-12,4:00 PM,MCBB,Buffalo @ Akron,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,5:00 PM,MCBB,Rhode Island @ Duquesne,"['Fubo Sports', 'USA Network']"
2026-03-12,5:30 PM,MCBB,Nevada @ Grand Canyon,"['Fubo Sports', 'CBS Sports Network']"
2026-03-12,6:00 PM,MCBB,South Carolina State @ Norfolk State,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,6:30 PM,MCBB,Middle Tennessee @ Louisiana Tech,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,6:30 PM,MCBB,Northwestern @ Purdue,"['Big Ten Network', 'DAZN Canada']"
2026-03-12,6:30 PM,MCBB,Ohio @ Kent State,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,7:00 PM,MCBB,Florida State @ Duke,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-12,7:00 PM,MCBB,Mississippi @ University of Georgia,"['ESPN Unlimited', 'SEC Network']"
2026-03-12,7:00 PM,MCBB,Xavier @ UConn,"['Fubo Sports', 'FOX Sports 1', 'DAZN Canada']"
2026-03-12,7:00 PM,MCBB,BYU @ Houston,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-12,7:00 PM,MCBB,Tulane @ Charlotte,"['Fubo Sports', 'ESPN Unlimited', 'ESPN U', 'ESPN App']"
2026-03-12,7:30 PM,MCBB,Loyola Chicago @ Davidson,"['Fubo Sports', 'USA Network']"
2026-03-12,8:00 PM,MCBB,Maryland Eastern Shore @ North Carolina Central,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,8:30 PM,MCBB,Arkansas-Pine Bluff @ Southern University,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,9:00 PM,MCBB,Southern Utah @ UT Arlington,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,9:00 PM,MCBB,Colorado State @ San Diego State,"['Fubo Sports', 'CBS Sports Network']"
2026-03-12,9:00 PM,MCBB,Kennesaw State @ Western Kentucky,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,9:00 PM,MCBB,UC San Diego @ CSU Northridge,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,9:00 PM,MCBB,Rutgers @ UCLA,"['Big Ten Network', 'DAZN Canada']"
2026-03-12,9:30 PM,MCBB,Clemson @ North Carolina,"['Fubo Sports', 'ESPN Unlimited', 'ESPN']"
2026-03-12,9:30 PM,MCBB,Oklahoma @ Texas A&M,"['ESPN Unlimited', 'SEC Network']"
2026-03-12,9:30 PM,MCBB,Georgetown @ Villanova,"['Fubo Sports', 'FOX Sports 1', 'DAZN Canada']"
2026-03-12,9:30 PM,MCBB,TCU @ Kansas,"['Fubo Sports', 'ESPN Unlimited', 'ESPN2']"
2026-03-12,9:30 PM,MCBB,Florida Atlantic @ North Texas,"['Fubo Sports', 'ESPN Unlimited', 'ESPN U', 'ESPN App']"
2026-03-12,11:30 PM,MCBB,Abilene Christian @ Utah Tech,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,11:30 PM,MCBB,San José State @ New Mexico,"['Fubo Sports', 'CBS Sports Network']"
2026-03-12,11:30 PM,MCBB,UC Davis @ CSU Fullerton,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,2:30 PM,WCBB,UNC Wilmington @ Monmouth,['FloSports']
2026-03-12,3:00 PM,WCBB,Tarleton State @ Utah Valley,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,3:00 PM,WCBB,Missouri State @ Middle Tennessee,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,3:00 PM,WCBB,CSU Fullerton @ Hawai'i,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,3:00 PM,WCBB,South Florida @ UTSA @,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,4:30 PM,WCBB,Indiana State @ Southern Illinois,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,5:00 PM,WCBB,Stephen F. Austin @ McNeese,"['Fubo Sports', 'ESPN Unlimited', 'ESPN U', 'ESPN App']"
2026-03-12,5:30 PM,WCBB,Grambling State @ Alabama State,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,6:00 PM,WCBB,Army @ Holy Cross,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,6:00 PM,WCBB,Hofstra @ Towson,['FloSports']
2026-03-12,7:00 PM,WCBB,Long Island University @ Mercyhurst,"['ESPN Select', 'ESPN Unlimited', 'NESN Nation']"
2026-03-12,7:00 PM,WCBB,Le Moyne @ Fairleigh Dickinson,"['ESPN Select', 'ESPN Unlimited', 'NESN Nation']"
2026-03-12,7:00 PM,WCBB,Evansville @ UIC,"['ESPN Select', 'ESPN Unlimited']"
2026-03-12,8:30 PM,WCBB,Hampton @ Elon,['FloSports']
2026-03-12,9:30 PM,WCBB,Valparaiso @ Drake,"['ESPN Select', 'ESPN Unlimited']"
